"","","C97 ","希望物件上位表示・ＰＲ","Top-ranking and Promotional Display of Wanted Properties","★ｎ円/月","Ｐ","× ","","× ","","× ","","","提案されやすくするための機能（目立たせる等）"
"","","","希望物件新着通知","New Property Notifications","〇","","","","","","","","",""
"","","B32 ","希望物件登録情報をキープ","Keep Registered Property Information","× ","","〇","","× ","","× ","","","エージェントが情報キープ・保存"
"","","B32 ","希望物件提案（エージェント提案）","Wanted Property Proposal (Agent Proposal)","× ","","〇10000円/月/50回","","× ","","× ","","","エージェントがアプローチ・提案"
"","","C97 ","希望サービス登録（カスタマー→サポートアカウント提案）","Wanted Service Registration (Customer → Support Account Proposal)","〇","","× ","","× ","","× ","","","希望サービス登録※フェーズ２"
"","","C97 ","希望サービス上位表示・ＰＲ","Top-ranking and Promotional Display of Wanted Services","★ｎ円/月","Ｐ","× ","","× ","","× ","","","提案されやすくするための機能（目立たせる等）"
"","","S11","希望サービス情報をキープ","Keep Information about Wanted Services","× ","","× ","","〇","","× ","","","サポートアカウントが情報キープ・保存※フェーズ２"
"","","S11","希望サービス提案（サポートアカウント提案）","Wanted Service Proposal (Support Account Proposal)","× ","","〇10000円/月/50回","","〇10000円/月/50回","","× ","","","サポートアカウントがアプローチ・提案※フェーズ２"
"","","マーケティング・セグメント機能","","Marketing segment function","","","","","","","","","",""
"","","","セグメント別マーケティングメール","Marketing Emails by Segment","× ","","★1000円/月","","〇","","× ","","","ターゲティング配信"
"","","","一斉チャット・DM配信","Bulk Chat and Direct Mail","× ","","★1000円/月","","〇","","× ","","","複数ユーザー同時配信"
"","","","ユーザー行動分析・レポート","User Behavior Analysis and Reporting","× ","","★1000円/月","","〇","","× ","","","詳細分析レポート"
"","","コミュニケーション機能","","Communication Features","","","","","","","","","",""
"","","","基本チャット機能","Basic Chat Features","〇","","〇","","〇","","× ","","","全アカウント共通"
"","","","AI翻訳プレミアム","AI Translation Premium","","","","","","","","","","利用料不明のためテストが必要"
"","","","カレンダー機能","Calendar","★","Ｐ","★","","★","","× ","","","内検日程など・Qobirix模倣機能？"
"","","","CRM基本機能（ベーシック顧客情報管理）","Basic CRM (Basic Customer Information Management)","× ","","〇","","〇","","× ","","","顧客データ管理"
"","","","CRM行動履歴分析機能（カレンダー・リマインダー機能）","CRM Behavioral History Analysis (Calendar & Reminder)","× ","","★","","★","","× ","","","顧客データ管理"
"","","","CRM行動履歴分析機能（顧客行動追跡・分析）","CRM Behavioral History Analysis (Customer Behavior Tracking & Analysis)","× ","","★","","× ","","× ","","","顧客データ管理"
"","","","ブロック","Block","","","","","","","","","",""
"","","広告・マーケティング機能","","Advertising and marketing functions","","","","","","","","","",""
"","","","エージェント検索上位表示","Top Ranking in Agent Searches","× ","","★1000円/月","","★1000円/月","","× ","OFF","期間指定のため更新なし？期間終了間近の通知のみ","検索結果上位表示"
"","","","バナー広告掲載","Banner Ad Display","× ","","★1000円/月","","★1000円/月","","× ","","","サイト内広告"
"","","","スポンサー広告※売却の検索前、後の２つにするか1つか","Sponsored Ads (Before and After Searches for Sales)","× ","","★1000円/月","","★1000円/月","","× ","","","検索順位向上"
"","","","スポンサー広告※売却の検索前、後の２つにするか1つか","Sponsored Ads (Before and After Searches for Sales)","× ","","","","","","× ","","","記事・動画作成"
"","","","コンテンツ作成・収益化","Content Creation & Monetization","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","物件状況・評価確認機能","","Only Overall Ratings Available","","","","","","","","","",""
"","","","総合評価のみ閲覧可能","Only the overall rating can be viewed.","〇","","× ","","× ","","","","",""
"","","","総合評価・詳細評価閲覧可能※評価者は匿名","Overall and detailed ratings can be viewed. *Evaluators are anonymous.","★ｎ円/月","Ｐ","× ","","× ","","","","",""
"","","","総合評価・詳細評価・全コメント閲覧可能※評価者は匿名","Overall rating, detailed rating, and all comments can be viewed. *Evaluators are anonymous.","★ｎ円/月","","× ","","× ","","","","",""
"","","","","","","","","","","","","","",""
"","","ポイント購入","","Purchase Points","","","","","","","","","",""
"","","例","１０００ポイント","1,000 Points","★ｎ円/月","","★ｎ円/月","","★ｎ円/月","","","OFF","ポイント失効期間前に通知",""
"","","例","１００００ポイント","10,000 Points","★ｎ円/月","","★ｎ円/月","","★ｎ円/月","","","OFF","",""
"","","例","１０００００ポイント","100,000 Points","★ｎ円/月","","★ｎ円/月","","★ｎ円/月","","","OFF","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","メッセージ・Ｅメール","","","","","","","","","","","",""
"","","","月100通","100 Emails per Month","","","","","","","","","",""
"","","","月1000通","1,000 Emails per Month","","","","","","","","","",""
